actor,avg_movie_rating,avg_votes_per_movie,total_movies,rating_std_dev,high_rated_movie_count,career_span,recent_avg_rating,is_rating_std_dev_missing,is_recent_avg_rating_missing
nm0085496,6.274999976158142,547.75,4,0.8539126522456068,0,30,6.800000190734863,0,0
nm10593070,5.049999952316284,270.75,4,0.5196152973310756,0,2,5.049999952316284,0,0
nm4297645,5.599999984105428,2712.222222222222,9,1.6583125281666315,1,13,6.149999976158142,0,0
nm0283492,6.942857129233224,11755.285714285714,7,0.782851907611851,0,37,6.75,0,0
nm0899517,6.991666664679845,452.9375,50,0.8507401611489946,4,50,7.399999976158142,0,0
nm1719934,5.840000057220459,40.6,6,0.7861297900029287,0,18,6.5,0,0
nm16257898,5.550000190734863,442.0,3,1.7677669529663689,0,1,5.550000190734863,0,0
nm14638424,4.5,121.0,3,0.7071067811865476,0,3,4.5,0,0
nm0015060,6.460000014305114,458.5,32,1.1357353495531757,2,36,6.600000063578288,0,0
nm10105751,5.254545471884987,176.0,12,1.1994695836454703,0,7,5.433333343929714,0,0
nm0617073,5.991666654745738,1112.0277777777778,36,0.7994194194562,0,44,6.550000031789144,0,0
nm12523125,7.966666539510091,222.33333333333331,4,0.6429099815088755,1,11,8.699999809265137,0,0
nm5043023,5.500000023841858,467.8,10,1.8618987194546808,1,8,3.0999999046325684,0,0
nm0939801,5.433333343929714,339.55555555555554,9,0.4415879776271421,0,51,5.100000143051148,0,0
nm1526525,6.371428421565464,837.4285714285714,8,1.1025942781499516,0,20,6.699999809265137,0,0
nm0520068,7.255555523766412,20253.11111111111,10,0.792324305820106,2,42,6.5,0,0
nm3017331,7.063636389645663,1301.5454545454545,11,0.6422969416545519,1,13,7.033333460489909,0,0
nm1773128,6.566666603088379,227.33333333333331,4,0.3511885987325052,0,19,6.199999809265137,0,0
nm0394343,6.466666539510091,21.33333333333333,4,0.2516611604741069,0,18,6.349999904632568,0,0
nm7665715,6.9888889524671765,2824.6666666666665,9,1.2888410291930028,3,9,6.916666746139526,0,0
nm2654065,5.645454493435946,221.1818181818182,11,1.7212574990584537,1,17,5.299999856948853,0,0
nm2589333,4.225000083446503,109.875,8,0.8972179719759715,0,18,4.950000047683716,0,0
nm0420889,6.055555555555555,2647.8888888888887,10,1.0076098741916435,0,18,5.833333333333333,0,0
nm8413065,5.800000031789144,45.66666666666666,5,0.3999998569488762,0,7,5.800000031789144,0,0
nm2402945,6.237499952316284,2851.625,8,0.6823017336214834,0,10,6.225000023841858,0,0
nm5057686,6.675,1589.15,21,0.9170175046469192,2,12,6.660000006357829,0,0
nm2535582,4.550000023841858,396.2,11,1.387443729783203,0,12,5.2600000381469725,0,0
nm3313805,4.766666730244954,2042.3333333333333,3,0.5033223209482139,0,10,5.300000190734863,0,0
nm0915385,6.054545424201272,271.3636363636364,11,1.4080935214183432,0,36,6.099999904632568,0,0
nm0777983,5.312499910593033,447.875,8,1.3932874171562546,0,19,4.249999940395355,0,0
nm1574952,5.575000047683716,920.25,4,0.7889866495973218,0,19,5.900000095367432,0,0
nm1335451,6.799999872843425,6832.666666666667,3,2.1166008325786687,1,18,8.399999618530273,0,0
nm0156228,5.719540223307993,1705.4942528735633,91,0.9020440754182976,3,49,6.283333381017049,0,0
nm0437630,5.7647058767430925,1035.1882352941177,110,1.0294133461806223,0,32,6.039999961853027,0,0
nm0577935,5.72058821776334,590.4117647058823,35,1.0602399323712846,0,43,6.324999928474426,0,0
nm0776260,5.700000047683716,969.25,4,0.8366600455317316,0,24,6.900000095367432,0,0
nm0439409,6.336666695276896,1950.6333333333332,31,0.8462833193979359,0,41,5.0,0,0
nm0493418,6.596551771821646,86.17241379310344,40,1.2675856890385444,3,35,5.375,0,0
nm0297956,6.267924524703116,1480.301886792453,61,0.7587372343049317,1,27,5.966666618982951,0,0
nm0650339,6.866666555404663,79.5,6,0.7633261019212988,0,30,7.549999952316284,0,0
nm0073398,6.4999998807907104,1849.75,4,0.9899495289842428,0,16,5.199999809265137,0,0
nm0313687,6.928571360451834,775.8571428571429,7,0.3352327096778109,0,18,6.599999904632568,0,0
nm0502218,4.806249916553497,509.875,17,1.8215263417384937,1,51,4.059999990463257,0,0
nm1827387,5.950000047683716,19.0,3,0.7778173918702447,0,23,5.950000047683716,0,1
nm0435766,6.100000023841858,219.0,17,0.8477421006472572,0,35,6.400000095367432,0,0
nm1798489,5.966666645473904,5692.0,9,0.6982120591001544,0,17,5.980000019073486,0,0
nm0442622,5.227026990942053,4013.216216216216,38,0.8023052327054817,0,24,5.418181722814387,0,0
nm1208890,6.2,29.2,5,0.7842193236256846,0,19,6.450000047683716,0,0
nm0801927,6.516666730244954,4127.166666666667,7,0.3488075105016093,0,22,6.550000071525574,0,0
nm2111748,5.540000033378601,11192.1,11,1.294604207977529,0,18,6.300000190734863,0,0
nm0001722,6.205714280264719,71788.82857142857,35,0.8917738019265622,1,33,6.440000057220459,0,0
nm0610612,6.360000038146973,466.2,7,0.4037325422451951,0,19,6.5,0,0
nm1168892,6.919999980926514,134.8,5,1.17770959345366,1,15,6.650000095367432,0,0
nm0054769,6.233333269755046,672.8333333333334,8,1.488175532713875,1,22,6.0,0,0
nm0050337,5.876923120938814,6157.384615384615,13,0.9248006947645904,0,30,5.900000095367432,0,0
nm1870638,6.25,15.0,3,2.0506093957011573,0,18,6.25,0,1
nm1649844,6.799999933976394,119.15384615384616,14,0.965228833818561,2,26,8.300000190734863,0,0
nm0791570,6.143750011920929,36546.4375,16,0.8594329312305646,0,26,6.149999976158142,0,0
nm0897478,6.090000057220459,2383.6,10,1.1376877661662688,1,39,5.0,0,0
nm1563589,6.087499916553497,996.625,9,0.6728138456900089,0,21,6.087499916553497,0,1
nm0813483,6.01428576878139,734.1428571428571,7,0.9281317596409656,0,27,6.800000190734863,0,0
nm0005290,4.969230743554922,4951.846153846154,15,1.1707437443999011,0,27,4.699999968210856,0,0
nm1289414,6.116666714350383,473.3333333333333,6,0.5455883132352518,0,19,5.800000190734863,0,0
nm0948077,5.793333339691162,490.06666666666666,18,1.2423862966726753,0,31,5.900000095367432,0,0
nm0725292,6.185714312962124,103.14285714285714,14,0.7471556942395186,1,20,6.200000047683716,0,0
nm2518678,4.699999968210856,1204.6666666666667,8,1.067707820737147,0,23,3.799999952316284,0,0
nm1442928,5.472727298736572,55311.27272727273,11,0.9001010678118118,0,17,4.800000190734863,0,0
nm0690422,6.003846159348121,3248.576923076923,36,1.3663032614945507,1,46,6.003846159348121,0,1
nm0849333,5.770000076293945,392.1,10,0.8472832955893633,0,34,6.800000190734863,0,0
nm1126960,7.377777841356066,1296.111111111111,9,1.106546290579176,4,19,7.149999976158142,0,0
nm0823563,5.6259999847412105,51027.78,53,1.117542880561455,1,42,5.0,0,0
nm0003928,5.137499988079071,3025.625,8,1.7369410827322451,0,25,4.750000059604645,0,0
nm0004846,5.733333333333333,17740.6,15,0.8649249394613231,0,21,4.300000190734863,0,0
nm1732548,6.212500035762787,1008.625,9,1.6207913316717228,1,16,4.833333333333333,0,0
nm0005493,6.2200000166893,157065.7,20,0.9616871783693824,0,18,6.550000071525574,0,0
nm2092237,5.750000059604645,17185.0,8,0.6256425344918097,0,18,5.900000095367432,0,0
nm1949524,7.400000095367432,1927.0,3,0.9384930852792726,0,15,7.400000095367432,1,1
nm2101772,5.400000095367432,134.0,4,1.900000095367432,0,14,5.400000095367432,0,1
nm1981721,6.5,18.0,6,0.6377042804611295,0,18,6.75,0,0
nm0005189,5.77142858505249,16540.0,8,0.930437695762618,0,31,5.5,0,0
nm0115152,4.970370389797069,15766.851851851852,27,1.1117604867809416,0,26,4.187499970197678,0,0
nm0962436,6.824999928474426,1705.375,8,0.7814821127359652,0,17,6.400000095367432,0,0
nm2419415,8.199999809265137,19.5,4,0.989949223921336,1,14,8.199999809265137,0,1
nm1847207,6.671428612300328,212.42857142857144,8,0.4386124725360717,0,18,6.450000047683716,0,0
nm0393090,5.899999976158142,741.25,5,1.5641823584545689,0,18,6.5,0,0
nm1145982,6.846153846153846,4733.615384615385,17,0.6132093584735991,0,25,6.4666666984558105,0,0
nm1997794,5.350000143051148,909.0,3,0.0707106106836971,0,18,5.350000143051148,0,1
nm0657241,5.635999984741211,878.56,25,0.9137286403332208,0,37,5.699999988079071,0,0
