director_id,director_experience,director_quality,director_total_votes
nm4263190,4,6.825000047683716,294113
nm2717602,3,4.733333269755046,16318
nm3209984,1,5.0,8
nm1827621,1,7.5,87
nm3025233,2,6.5,555
nm6176574,1,4.300000190734863,200
nm2259723,1,4.699999809265137,39
nm7823624,1,4.800000190734863,145
nm14698472,1,4.400000095367432,139
nm2153080,3,4.5,954
nm3212019,1,5.0,36
nm0405632,3,5.266666571299235,57777
nm5457821,1,4.099999904632568,207
nm2794492,1,8.0,41
nm1393870,2,7.700000047683716,347
nm1065342,1,6.900000095367432,712
nm1261439,1,7.599999904632568,68
nm1376388,1,4.599999904632568,169
nm6970240,1,5.0,92
nm11189156,1,7.800000190734863,369
nm0946521,2,5.800000190734863,17558
nm10784561,1,8.0,15
nm10722191,1,7.400000095367432,29
nm0782900,1,3.4000000953674316,569
nm0177234,2,4.5,2102
nm4701134,1,4.599999904632568,248
nm3301599,1,6.300000190734863,158
nm8971688,3,5.1333333651224775,165
nm2146502,1,7.599999904632568,30
nm0005522,1,4.300000190734863,529
nm3701770,1,6.599999904632568,10
nm0941811,4,6.200000047683716,8005
nm6543938,1,7.199999809265137,29
nm8169378,1,7.900000095367432,33
nm0169806,2,6.349999904632568,461331
nm3033057,12,6.799999992052714,4055
nm7338192,1,6.400000095367432,138
nm4804442,2,5.700000047683716,227848
nm0275044,1,6.900000095367432,147
nm4586450,1,6.300000190734863,17
nm1850235,2,6.1499998569488525,299
nm1785287,1,5.800000190734863,316
nm2746993,1,7.300000190734863,4607
nm1366960,1,4.900000095367432,44
nm3971440,1,7.5,12
nm1644164,1,6.0,105
nm7050504,1,6.5,5084
nm0148482,4,3.049999952316284,1208
nm1543906,4,7.774999976158142,1387
nm0252230,1,6.5,2090
nm0702012,2,8.149999856948853,1098
nm0691922,1,6.400000095367432,523
nm4008627,1,3.5999999046325684,104
nm0168566,1,7.5,16
nm9839206,1,5.599999904632568,25
nm16019836,1,5.099999904632568,4960
nm7897880,2,6.849999904632568,129
nm3151578,1,6.400000095367432,146
nm1129163,1,6.400000095367432,103
nm1126068,2,6.549999952316284,47648
nm4813513,2,4.950000047683716,2124
